red/green,disorganized/organized,dull/shiny,chromaticity,darkness/lightness,Image,fine/coarse grain,smooth/rough
4.51,4.7,6.2,1.5,2.6,S_Bituminous Coal_06.jpg,2.55,4.15
5.44,5.15,4.1,1.3,1.65,S_Bituminous Coal_07.jpg,3.55,4.6
5.02,4.7,5.7,0.3,1.4,S_Bituminous Coal_08.jpg,2.8,4.65
5.0,5.9,7.75,0.2,1.1,S_Bituminous Coal_09.jpg,1.05,1.15
4.93,4.7,6.8,0.3,1.1,S_Bituminous Coal_10.jpg,2.2,4.6
4.91,5.0,7.4,0.6,1.3,S_Bituminous Coal_11.jpg,1.9,2.65
5.47,3.75,4.8,1.1,3.05,S_Bituminous Coal_12.jpg,4.55,5.8
6.63,1.0,2.2,3.5,5.0,S_Breccia_01.jpg,8.75,8.7
4.4,1.85,3.6,3.1,5.55,S_Breccia_02.jpg,8.55,8.25
6.7,2.45,2.4,1.7,6.2,S_Breccia_03.jpg,8.05,8.0
3.35,3.2,3.65,2.4,5.25,S_Breccia_04.jpg,6.5,6.0
4.37,1.85,4.95,2.3,5.5,S_Breccia_05.jpg,8.0,7.9
2.4,3.55,4.2,4.4,5.7,S_Breccia_06.jpg,7.8,7.3
1.51,3.3,3.85,5.5,5.7,S_Breccia_07.jpg,8.6,5.4
2.7,2.15,3.8,5.4,5.35,S_Breccia_08.jpg,8.45,6.25
4.95,3.0,5.45,0.4,2.0,S_Breccia_09.jpg,3.65,2.75
3.53,3.4,3.15,2.8,4.0,S_Breccia_10.jpg,7.65,4.7
1.23,3.15,3.95,5.7,5.75,S_Breccia_11.jpg,8.85,5.15
3.6,2.25,2.65,5.1,4.9,S_Breccia_12.jpg,8.1,8.05
3.91,4.55,4.85,3.2,5.8,S_Chert_01.jpg,2.05,2.15
4.23,5.15,4.25,3.0,8.25,S_Chert_02.jpg,1.9,2.4
4.7,4.55,4.2,4.6,7.55,S_Chert_03.jpg,1.85,2.5
5.05,5.2,2.55,1.6,6.2,S_Chert_04.jpg,2.65,2.9
5.35,4.5,3.7,2.9,7.85,S_Chert_05.jpg,3.0,4.7
4.28,4.1,4.5,4.4,7.7,S_Chert_06.jpg,2.75,2.85
3.37,5.6,3.25,4.9,6.7,S_Chert_07.jpg,1.95,2.6
3.3,5.25,7.6,2.7,7.45,S_Chert_08.jpg,2.0,2.2
4.81,4.25,6.7,1.2,8.35,S_Chert_09.jpg,2.35,2.45
3.98,4.35,4.85,3.5,7.1,S_Chert_10.jpg,2.5,2.4
3.51,4.25,8.25,2.8,1.7,S_Chert_11.jpg,1.6,1.65
5.4,4.3,3.85,1.8,3.4,S_Chert_12.jpg,3.4,4.25
